,title,salary,jobtype,description,location
326,Associate Data Engineer,,,Develop ETL data pipelines to transform and process data between multiple data zones.Develop Repeatable and Reusable data pipelines as part of the data lake…,"McLean, VA 22102"
327,Data Analyst III,"$4,301 - $5,671 a month",,"Identifies specific user needs, compiles data and interprets data patterns and trends.Skill in translating large amounts of data.","Austin, TX 78751 (Triangle State area)"
328,Statistician,,,Analyzes and interprets data from various sources.The Statistician will analyze and interpret data from various sources and provide expert opinions.,"Houston, TX 77056 (Greater Uptown area)"
329,Data Science Post Doctoral Fellow (E),"$47,000 - $50,000 a year",,"The successful candidate will coordinate data collection and analysis from large, multi-center clinical studies, and will interpret data for manuscript…","Salt Lake City, UT 84112 (East Bench area)"
330,Program Analyst - Data Analytics,,,"Data science team part of Data & Analytics organization is looking for a creative, analytical mind who loves data, is curious to explore, and wants to impact…","Alpharetta, GA"
331,"Analyst, FP&A",,Remote,Because the European Union Commission has determined that United States data privacy laws do not ensure an adequate level of protection for personal data…,New York State•Remote
332,Data Migration Specialist L2,,,4-5 years experience in SAP BODS.Experienced in Data Migration from Legacy/ECC to S/4 HANA.Knowledge about SAP OTC transactions and mapping.,"Reading, PA+2 locations"
333,Computational Scientist,,,"Assess algorithm performance on real-world data.Bachelor’s, Master’s, or PhD in computer science, physical sciences, engineering, or mathematics.","Huntsville, AL"
334,Postdoctoral Research Associate - Forensic and Investigative...,,,"Successful candidates will perform independent research in the areas of machine learning, computer vision, imaging science and statistics, will mentor junior…","Morgantown, WV 26506"
335,"Research Statistician, Real World Evidence","$76,600 - $127,600 a year",,Assess data quality and completeness.Prepares HEOR data as background materials for discussion with pharmaceutical customers.,United States+5 locations
336,Data Engineer,,Remote,Create data tools for data science and BI teams to assist them in building and optimizing our product into an innovative industry leader.,Remote•Remote
337,Data Analyst,,Remote,Analyze data to provide new insights or data points for further analysis.Ability to work with text data for analysis and creation of new data points.,Remote•Remote
338,Data Scientist,,Remote,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.","San Francisco, CA 94104 (Financial District area)•Remote"
339,Software Developer - Tools/Data Science,,,Deliver compelling data visualizations that enable data driven decision making in the product design process.Develop automated data pipelines for synchronizing…,"Santa Clara Valley, CA 95014"
340,Global Senior Data Scientist (Remote),,Remote,"Translate complex data and methodology into operationally practical insights.Proficiency with data visualization tools (D3.js, R Shiny, Looker, Tableau or…","Center, TX•Remote"
341,"Data Scientist, Junior",,,"Participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…","San Antonio, TX+3 locations"
342,Data Scientist - New College Grad,,,Analyze data to research and improvement classifiers.Proficiency in data exploration techniques and tools.Oversee creation of data sets for machine learning…,"Sunnyvale, CA 94085"
343,"Data Analyst, Quality Systems & Data Science",,,Acquire data from primary or secondary data sources and maintain databases/data systems to empower operational and exploratory analysis.,"Fremont, CA"
344,"Data Science Manager, Analytics",,Remote,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…",Remote+8 locations•Remote
345,Data Scientist,,,"Demonstrate strength in SQL, NoSQL, ETL modeling, data modeling, data caching, schema design and data warehouse architecture.","Lehi, UT 84043+1 location"
346,AI/ML - Data Scientist (Machine Learning & Natural Language)...,,,"Master's or PhD in Computer Science, Linguistics, a data-driven physical science, or equivalent.This is an unusual opportunity that sits at the cutting-edge of…","Seattle, WA"
347,Data Engineer,"$64,137 - $159,286 a year",,"Work experience related to data engineering, information, and data management.Data Engineers work with data consumers to create and populate optimal data…","Washington, DC 20505 (Foggy Bottom area)"
348,Data Scientist,,Remote,"You use data science tools like SQL and Python (pandas, numpy) and you have a track record of picking up new tools along the way.",Remote•Remote
349,Associate Data Science Analyst,,,"Modifies scripts or software applications to support data management, data extraction and data analysis as required.The minimum pay rate is $25.59 per hour.","Rochester, MN 55901"
350,Goodnight Distinguished Professor in Artificial Intelligence...,,,"Working Title Goodnight Distinguished Professor in Artificial Intelligence and Machine Learning.The Department of Computer Science is an academic, teaching,…","Raleigh, NC"
351,"Senior Data Engineer, Data Security & Privacy",,,Create data tools for analytics and data science teams.Wrangle data model modifications to accommodate source data changes.A strong sense of ownership.,"San Francisco, CA"
352,Ultimate Hoops Statistician,,,Experience tracking full statistical data for basketball games.The Statistician assists in the execution of Ultimate Hoops Basketball League by tracking full…,"Boca Raton, FL 33431"
353,Data Engineer,,,Expose data as consumable data sources for analytics via APIs and data virtualization services such as Denodo.Able to clearly define data quality issues.,"Durham, NC"
354,Statistical Programmer 5,,,"Advise data management staff on database design, and critical data.Provide expert statistical input into and review of statistical deliverables (i.e. analysis…","Durham, NC"
355,Data Scientist Advisor,,,Works closely with data scientists and data engineers to develop machine learning algorithms.Provide expert leadership at the enterprise level related to vast…,"Brookfield, WI+3 locations"
356,Data Lab Architect,,,"Hands on experience as a database, data warehouse, big data/analytics developer or administrator, or work as a data scientist.","Chicago, IL"
357,Data Engineer,,,"HII- Technical Solutions Division (TSD) is currently seeking a Data Engineer in either their San Antonio, TX or Annapolis Junction, MD office who will be able…","San Antonio, TX 78251"
358,Director ML & Predictive Analytics-REMOTE,,Remote,"Tactical: develop meaningful data models in commonly used data science packages (Python, R, etc).Ability to expand solutions’ reach into OT environment …","Milwaukee, WI•Remote"
359,Sr. Data Analyst,,,Responsibilities beyond developing data analysis solutions may include participation in component and data architecture design technology planning product…,"Detroit, MI 48201 (Midtown area)"
360,Data Analytics Fellow,,,You will be involved with researching administrative and auxiliary data sources to enhance the transportation data.U.S. Department of Transportation (DOT).,"Washington, DC"
361,Business/Management,,,"Priority will be given to candidates with teaching/research interests in business analytics, and experience in data mining, data visualization tools, machine…","Northridge, CA 91330"
362,"Director, Data Science, Pharmacy Personalization",,,Actively contributing in the data science recruiting strategy across Enterprise Analytics.Experience founding and managing data science teams and acting as a…,"Wellesley, MA"
363,"Advanced Data Insight Analyst II--(Product Analyst, Search a...",,,"2+ years’ data analytics experience in a business context.You have that curious streak - want to investigate that data point, find that insight, understand how…","Seattle, WA 98119+1 location (Queen Anne area)"
364,Senior Data Scientist - Digital Health,,,Provides advanced data science expertise to AstraZeneca projects and recommends data science solutions.The team is looking for a Senior Data Scientist to…,"Waltham, MA 02451+2 locations"
365,"Data Product Engineer, Revenue Science",,,"Experience with large-scale data warehousing architecture and data modeling.As a member of the Data Product Engineering team, you will work closely with…","San Francisco, CA 94103 (South of Market area)"
366,Data Scientist,,,"Training and development opportunities at cutting edge data-science conferences across the country.Their ability to understand, navigate, and manipulate a…","Glen Allen, VA 23060"
367,Data Scientist,,,At least three years of applicable data science experience.Ability to skillfully apply data science principles and theory.,"Redwood City, CA"
368,Sr Principal Data Scientist-AI/ML (Remote-United States),,Remote,Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.Solve complex business and customer issues utilizing…,"Houston, TX•Remote"
369,Data Science & Analytics Development Program 2021b,,,"Knowledge of applied statistical analysis, modeling techniques, and data visualization methods.Title: Data Science & Analytics Development Program 2021b -…","Moline, IL 61265"
370,Data Science Consultant,,,"Experience with data gathering, data quality, system architecture, coding best practices.Experience with perception (e.g. computer vision), time series data (e…","Richardson, TX 75082"
371,Data Scientist - Philippines,,,Works with clients to manage and explore data to discover business opportunities.Assists in the implementation of sophisticated models with their systems and…,United States
372,Data Scientist,,,Influence priorities: Review market conventions and data relationships to set rules for data validation.Proficiency using data and statistical modeling and…,"Princeton, NJ 08540"
373,Natural Language Processing Specialist,,,You see patterns when looking at data of user behavior and can see the user’s intention.No NLP experience is required.We will provide all the training needed.,"Evergreen, CO 80437"
374,Data Scientist (Mid) - Data & Analytics - IT - CS - US,,,"Familiarity with advanced data science topics like Autoencoder, numerical optimization, transfer learning etc.","Chesterfield, MO 63017"
375,"Data Engineering Director, Analytics (Ads)",,,"Establish the processes needed to achieve operational excellence in data fidelity, data privacy, system reliability, and enabling rapid experimentation and data…","Menlo Park, CA 94025+1 location"
376,Data Scientist,,,"Must be able to both manage and manipulate large data sets, develop data science approaches, and manage data science tasks.","Tampa, FL+2 locations"
377,North America Market Specialist,,,6+ months experience working with data.We need influencers who can align cross-functional partners to ensure the best possible experience for our platforms.,"Austin, TX"
378,Data Scientist: Personal Auto Telematics (Remote),"Up to $162,500 a year",Remote,"Solid understanding of data science methods (both statistical and machine learning models).Perform data mining towards telematics data collected from GPS,…",Wisconsin•Remote
379,Analyst - Software Engineer / Data Engineer / Data Scientist...,"$90,000 a year",,"Data Scientist Analyst: You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large…","Atlanta, GA"
380,Part-Time Instructor: Data Analytics and Data Science (Onlin...,,Remote,We are seeking qualified applicants possessing current knowledge and teaching experience in all aspects of Data Analytics and Data Science including: Data…,"Irvine, CA•Remote"
381,Statistician,,,"The Statistician will provide scientific, technical, and professional assistance including but not limited to: scientific, clinical, and professional support to…","Atlanta, GA 30341"
382,Senior Data Scientist & Analytics Engineer Job,,,Experience working in a data intensive environment and translating business needs into data requirements.The Senior Data science and analytics engineer is a…,"Conyers, GA 30012"
383,Department of Applied Data Science Lecturer Pool,,,This program provides students with the advanced education necessary to draw insights from real data and apply analytical skills to solve practical problems.,"San Jose, CA"
384,Insurance Statistical Coding Analyst,,,"Analyze data for efficiencies in workload, error analysis and possible solutions, reconciliation of data, etc.Basic Commercial Insurance knowledge preferable.","Township of Warren, NJ"
385,NYA - Data & Analytics (DA),,,"Assembling large, complex data sets that meet functional/non-functional business requirements.Everyone is working on the same projects; creating and testing as…","Franklin Lakes, NJ"
386,Mathematical Statistician - Direct Hire,"$107,807 - $140,146 a year",,"The ideal candidate is familiar with a full range of mathematical statistical data, especially transportation related data.","Salt Lake City, UT"
387,Tensor Factorization and Mathematical Optimization Postdocto...,,,"Analyze high-order data collected from high-throughput experiments and facilities.In this position, the researcher will contribute to the design and analysis…","San Francisco Bay Area, CA"
388,Sr Manager - Business Intelligence,,,"7+ years’ experience working in data analytics, data science, or related field.Understanding of data engineering pipelines and processes.","Detroit, MI"
389,Decision Analytics Consultant,,,"Our teams work on multiple projects simultaneously, leveraging advanced data analytics and problem-solving techniques.Contribute to internal firm activities.","San Francisco, CA+8 locations"
390,Sr Inventory Management Operations Analyst,,,"Experience sourcing data from relational databases (DB2, postgresql, sqlite) and No SQL data stores (hadoop, REStful APIs, kafka).","Minneapolis, MN 55402 (Downtown West area)"
391,Senior Engineering Statistician,,,The Engineering Statistician will work effectively with others to address engineering and business needs within a rigorous statistical framework.,"East Hartford, CT 06118"
392,Senior Deep Learning Engineer,,,"Experience building large scale data processing pipelines.Investigate innovative machine learning, artificial intelligence and statistic techniques for health…","Gaithersburg, MD 20878"
393,Senior Statistician,,,Provides biostatistics expertise in clinical development projects by supporting project statisticians.Support clinical development and study planning.,"Parsippany, NJ"
394,"ESE Tenured or Tenure-track Faculty, Information and Decisio...",,,"Information and decision systems (control, optimization, robotics, data science, machine learning, communications, networking, information theory, signal…","Philadelphia, PA 19104 (University City area)"
395,Adjunct – DSC-550: Neural Networks and Deep Learning – Onlin...,,,"This course introduces deep artificial neural networks, reviewing the theoretical concepts and practical applications in data science.",United States
396,"Machine Learning/NLP - Software Engineer III- Charlotte, NC",,,"These solutions must overcome issues of complex data (e.g., VLDB, multi-structured, ""big data"", etc.).Build models, solutions and infrastructure to support…","Charlotte, NC 28202 (First Ward area)"
397,Senior Programmer Writer - AI/ML,,,"Degree in Computer Science, Mathematics, a related field, or equivalent experience.Experience using content publishing tools to write, format, manage, and…","East Palo Alto, CA"
398,Epidemiologist (Emergency Preparedness Team),,,Experience in data science and designing/operating a surveillance system integrating multiple data systems.Monitor and analyze CDPH emergency operations staff…,"Richmond, CA"
399,Postdoctoral Appointee in Machine Learning and Uncertainty Q...,,,"Experience in computational science and software development.PhD in a field of materials/physical sciences, applied mathematics, or engineering.","Livermore, CA 94551"
400,ADJUNCT FACULTY- BUSINESS DATA ANALYTICS,,,Responsible to provide excellence in teaching through the fulfillment of the missions and strategic goals of the School of Business.,"Saint Paul, MN 55113"
401,Senior Quantitative Risk Analyst,,,Experience working with different lines of business to accomplish modeling and data solutions by translating business requirements into data needs/techniques.,"Enfield, CT 06082"
402,Data Engineer,,,"Experience with automation and improving overall data quality.Our team is responsible for building data products/capabilities on the Data Platform, that will…","Enfield, CT"
403,Business Analytics Advisor (Collaborative Care Advanced Anal...,,,"Strong Healthcare data knowledge and hands on experience (medical claims data, clinical data, pharmacy data and eligibility data).","Bloomfield, CT"
404,Data Engineer AWS Database,,,Develop data migration plans to migrate legacy on-premises databases into AWS data stores.Conduct research on different approaches to data storage in AWS.,"Des Plaines, IL"
405,Sr Manager - Business Intelligence,,,"7+ years’ experience working in data analytics, data science, or related field.Understanding of data engineering pipelines and processes.","Detroit, MI"
406,Analytics Strategy – Financial Services Industry,,,"1 year using AI and data science.Familiarity with using cloud services AWS, Google, Azure or Big Data tools Hadoop, Hive, Spark in data science solutions.","Boston, MA+4 locations"
407,Decision Analytics Associate Consultant/Forecasting,,,Bachelor's or master's degree required in any discipline with strong record of academic success in quantitative and analytic coursework such as operations…,"San Francisco, CA+5 locations"
408,Applied Scientist - Computer Vision / Amazon Robotics,,,"The discipline to fast-fail when data refutes theory;PhD in Engineering, Technology, Computer Science, Machine Learning, Robotics, Statistics, Mathematics or a…","North Reading, MA 01864"
409,"Senior Data Analyst - UHC M&R IS - Horsham, PA",,,"This function is not intended for employees performing the following work: production of standard or self-service operational reporting, casual inference led …","Horsham, PA 19044"
410,Data Science Architect,,Remote,"Experience with automating data science and machine learning processes and pipelines.Bachelor’s in data science, engineering, computer science, similar…",Remote•Remote
411,Data Scientist,,,"Develop and perform standard queries to ensure data quality, identify data inconsistencies, missing data and resolve as needed.","Parsippany, NJ 07054"
412,"Palmyra Atoll Data Scientist (Junior Specialist), Marine Sci...",,,"Masters or Doctoral degree in ecology, environmental science, data science, computer science, or a related field.Experience in data management and/or analysis.","Santa Barbara, CA 93106"
413,"Associate Director, Data Science",,,"APCO Insight’s data science team is increasingly involved in assignments employing statistics (e.g., linear/logistics regression, clustering) to develop…","Raleigh, NC+3 locations"
414,Data Scientist,,,"Strong data engineering, and data management expertise with demonstrated data transformation and manipulation experience.","Boston, MA"
415,Data Scientist,,,"Create data views and own data quality.This role is a mix of data science, engineering and business analytics.Partner with business to solve problems.","Atlanta, GA 30328"
416,Industry Data Strategy and Analytics Leader - Opportunity fo...,,Remote,Perform quantitative analysis and data mining of external industry data as well as VMware data.Perform and/or work closely with the data sciences CoE and other…,"Jacksonville, FL+2 locations•Remote"
417,Data Scientist,,,"Transform raw source data into analytics-ready data models using reproducible tools.2+ years of experience in a data science, analytics, or research role; or a…","Brooklyn, NY"
418,Data Scientist (Remote) - New York,,Remote,"Have strong SQL skills and enjoy extracting and manipulating data.Help analyze, explore, model and gain insight from data.",New York State•Remote
419,"Data Science Director, Integrity Foundation",,,Experience with large data sets and distributed computing (Hive/Hadoop).The perfect candidate will have experience building and managing world-class analytics…,"Menlo Park, CA 94025"
420,Data Analyst and Visualization Specialist,"$70,000 - $82,000 a year",,"Bachelor’s degree and/or advanced certification in computer science, data science, or similar technical field; or 4 years of experience using software for data…","Raleigh, NC"
421,Machine Learning/AI,,,"MS or Ph.D. candidate computer science, or related STEM field.Understanding and modeling human behavior is essential for driving safely through crowded…","San Jose, CA"
422,Analyst - Software Engineer / Data Engineer / Data Scientist...,"$90,000 a year",,"Data Scientist Analyst: You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large…","Atlanta, GA"
423,Data Analyst,,,"Experience with statistical analysis/data science.Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data,…","Redmond, WA"
424,Location Strategy Data Analyst - FCS,,,"BA/BS in data science, finance or business administration preferred.Strong research and quantitative data modeling skills: Experience working with large data…","Menlo Park, CA 94025"
425,"Market Senior Clinical Pharmacist - Telecommute in UT, ID",,Remote,"Analyze data and prepare management summaries related to work stream results, performance mgmt.The Market Sr Clinical Pharmacist serves as a subject matter…","Meridian, ID 83680•Remote"
426,Scorekeeper (Statistician),$10 an hour,,Job Description: Arrive Fifteen (15) minutes prior to tip-off of scheduled game.Maintain an accurate account of all processes associated with the game.,"Los Angeles, CA+1 location"
427,"Assistant/Associate Professor (College for Health, Community...",,,Highlighted position: Assistant or Associate Professor with expertise and research in data science related to human performance; a joint appointment in the…,"San Antonio, TX 78249"
428,Sr. Pre-Sales Solutions Architect - Health and Life Sciences...,,,"Advanced knowledge of cloud and data science technology and architecture.Possesses a strong knowledge of cloud, data science, and technology from SAS or open…","Cary, NC 27513"
429,Sr IoT Data Architect,"$122,300 a year",,Experience developing solutions leveraging data science and analytics.Bachelor's degree or equivalent experience.This is a customer facing role.,United States
430,Mathematical Statistician - Direct Hire,"$107,807 - $140,146 a year",,"The ideal candidate is familiar with a full range of mathematical statistical data, especially transportation related data.","Salt Lake City, UT"
431,"Senior Software Machine Learning Engineer, Service Intellige...",,,Collaborate with engineers and data scientists to push the pace of innovation and experimentation by introducing best practices.,"Austin, TX 78744+1 location (Franklin Park area)"
432,Opportunity in Machine Learning and Data Science for Buildin...,,,An advanced degree in Computer Science or a related field with a focus on machine learning and data science.Collaborate with BTO staff in the assessment of the…,"Washington, DC (Southwest Federal Center area)"
433,"Business Analyst, Logistics",,,"2+ years of demonstrated quantitative and qualitative data science experience with impact to a business, a track record of problem solving using software…","Bellevue, WA"
434,Sr Data Analyst,,,"Work directly with users in defining new application requirements and resolving project issues.Respond to user problems, explain new technologies, and present…","Chicago, IL 60661 (Near West Side area)"
435,Product Innovation Lead,,,"Artificial intelligence, machine learning, big data and cloud platforms form ""the brain"" underpinning these solutions.Measured on ROI of asset investment.","San Francisco, CA"
436,Machine Learning: Hydraulic & Environmental Data,,,"QA/QC of historical data.Monitoring and maintaining real-time data collection.The participant will learn specialized data collection techniques using ADVs,…","Vicksburg, MS"
437,Federal - ETL Developer Engineer,,,Participate in troubleshooting and resolving data integration issues such as data quality.Experience using Python and Spark/Python/SQL and common data science…,"St. Louis, MO 63110 (Botanical Heights area)"
438,"Principal Statistician, Late Oncology",,,"Our robust pipeline includes investigational therapies in varied stages of clinical development, from recently approved products to earlier-stage molecules in…","Gaithersburg, MD 20878+1 location"
439,Part Time Faculty for Business Analytics,,,It provides students with the skills to conduct analyses with large sets of data to inform business decisions.,"San Francisco, CA 94133 (Russian Hill area)"
440,AI Engineer,,,Work with a team of engineers and cross-divisionally with our partners to identify and define business problems suitable for artificial Intelligence Actively…,"Atlanta, GA"
441,Director of Data & Analytics,,Remote,"Key areas of expertise may be in the realms of data science, analytics & research, or data engineering.You’re familiar with modern applications of data science…",Remote•Remote
442,"Data Scientist - User Segmentation (Remote, 6 months)",,Remote,Advanced data skills using R or Python.5 or more years experience in data analysis and statistics.We utilize benchmarking and peer organization data to ensure…,California•Remote
443,Applied Research Scientist (University Grad),,,"Experience performing data extraction, cleaning, analysis and presentation for medium to large datasets.Work cross-functionally to define problem statements,…","Menlo Park, CA 94025+2 locations"
444,Manager - Data Analytics,,Remote,The Manager - Data Analytics is responsible for the oversight and development of data analysts and supports other ICAS teams by helping to design and perform…,Remote•Remote
445,Biostatistician III (Remote Position),,Remote,"Experience with data science techniques including machine learning and associated software a plus.Assesses relevant literature as well as existing data,…",United States•Remote
446,Research Data Scientist,,,"An understanding of data pipelining and automation, with experience using PySpark on large data sets – over 1B data points.","New York, NY 10019 (Midtown area)"
447,2021 Global Data Science Advanced Graduate Quant Sci Track C...,,,"Candidates will learn the underpinnings of data science techniques to supplement existing biostatistical knowledge.Please, no phone calls or emails.","Kenilworth, NJ"
448,Data Scientist,,,Fraud Analytics – analysts on the fraud team use advanced data mining techniques to identify and fight online fraud.,"Chicago, IL"
449,Remote Data Science Manager,,Remote,Build and execute the data science strategy.Implement agile framework to data science discipline.Successful track record of building data science platforms.,"Hire, NE•Remote"
450,Operations Research Data Scientist (Remote),"$86,000 - $130,000 a year",Remote,Collaborate with engineering teams to design and implement software solutions for data science problems.Understand ambiguous business problems and convert them…,"Northbrook, IL•Remote"
451,Data Scientist,,Remote,This opportunity is great for professionals with a shared vision of building an extraordinary platform and serve healthcare consumers through the power of data…,Remote•Remote
452,"Data Science Manager, Ads Delivery Product",,,"Experience using data to drive product and business decisions.You will be formulating product strategy, understanding key drivers of advertiser value, and…","Menlo Park, CA 94025"
453,Data Analyst,,,You have 2+ years of experience in a data analytics and/or data science role using quantitative tools to drive business decisions.,"Los Angeles, CA 90028 (Hollywood area)"
454,Data Scientist,,,"Examples include, visualization tasks, BI meta data model development, data loading, data cleansing, etc.This position is not ideal for a data scientist who…","Baltimore, MD 21201 (Mid-Town Belvedere area)"
455,Senior Data Analyst,,,3+ years working as a data analyst or equivalent experience working with data within a role or function.Perform exploratory data analysis to inform business…,"Portland, OR 97204+11 locations"
456,Sr. Data Scientist - IT,,,"Drive the design, building, and launching of new data models and data pipelines in production.Interface with engineers, product managers and product analysts…","San Mateo, CA 94401 (Central Business District area)"
457,Computational Mathematician/Statistician,,,"Machine learning, data analysis, applied statistics, and uncertainty quantification.Quantum information sciences, including quantum computing, networking, and…","Lemont, IL 60439"
458,Associate Staff - Applying AI & Machine Learning to Multispe...,,,"From these large datasets, you will create training and test data sets that are usable by AI/ML applications.No less important, the interdisciplinary nature of…","Oak Ridge, TN 37830"
459,Data Scientist - Merchandising Analytics,,,2 years of experience in data science or advanced analytics in industry.Our Merchandising Analytics team is building out a multi-faceted data science tool that…,"Charlotte, NC 28202 (Downtown Charlotte area)"
460,Global Analytics Associate,,,Computer Sciences degree with data analysis/data science concentration.Review/QC data to ensure accuracy of attribution reports.,"Nashville, TN"
461,"Sr. Manager, Data Science and Analytics",,,"Creates actionable recommendations and insights, to address business objectives, through the analysis and modeling of quantitative and qualitative data.","Philadelphia, PA"
462,Data Engineer/Technology Analyst (Term) - MA,,,"The MPOA Data Engineer term position requires a bachelor's degree in computer science, data science, computational statistics, or a related field with at least…","Washington, DC (Foggy Bottom area)"
463,Assistant Scientist - Nanoscience,,,"Experience in machine learning, artificial intelligence, and data science applied to materials science and/or nanoscience.","Lemont, IL 60439"
464,Sr. Data Analyst,,,Summary The Senior Data Analyst will provide technical leadership in the implementation of data systems and is responsible for development and implementation of…,"San Antonio, TX"
465,Machine Learning - Speech,,,"Master’s degree or PhD in computer science, mathematics, engineering, computational linguistics, or work experience of minimum 2-3 years.","Spring Valley, NY 10977"
466,R&I Data Scientist,,,Gather internal or external data and validate data quality.A minimum of 2 years of data science and AI experience.Very good communication skills in English.,"Princeton, NJ 08540"
467,Assistant or Associate Professor in Understanding Land-Water...,,,Candidates must demonstrate expertise and research productivity in data-driven science and show a strong interest in interdisciplinary research and teaching.,"University Park, PA"
468,Senior Data Scientist - Econometrics and Inference - Uber Fr...,,,"At least 5 years of industry experience in data science, with significant personal experience as a technical contributor.","San Francisco, CA 94103 (South of Market area)"
469,STATISTICIAN,"$109,618 - $142,500 a year",,"Provides expert technical direction for quality assurance/improvement of data.Highly skilled in the interpretation, evaluation and integration of nuclear…","Patrick Afb, FL"
470,"Data Compilation Assistant, Natural Resource Scientist 2","$50,256 - $67,560 a year",Temporarily Remote,Compiling and conducting quality control on existing datasets covering a wide range of geological topics and data types.,"Olympia, WA•Temporarily Remote"
471,Data Scientist - DoED,,,"Experience with common data science toolkits.Familiarity with data management tools.You will design data modeling processes, create algorithms and predictive…","Washington, DC"
472,"Senior Data Scientist, Statistical Modeling",,Remote,Partner with a cross-functional team of data engineers and business analysts to automate data collection and identify new signals to enhance marketing models.,Arizona•Remote
473,Head of Data Science,,,Experience designing and selling data science opportunities to senior business stakeholders; as well as owning and delivering on enterprise data science…,"Westlake, TX"
474,Data Scientist,,,Develop custom data models and algorithms to apply to data sets.To query & manipulate data and draw insights from large data sets.,"Bethesda, MD 20814+1 location"
475,Data Scientist (Computer Vision),"$120,000 - $140,000 a year",,"Excellent communication skills with the ability to simplify complex ideas, data, and analysis.Solid understanding of predictive analytics, statistical modeling…","Boulder, CO 80302"
476,Senior Data Engineer,,,"Version data and create data monitoring models.Ability to conduct data profiling, cataloging, and mapping for technical data flows.","Atlanta, GA 30309+4 locations (Midtown area)"
477,Data Migration Resource,,,"The consultant should have thorough experience in migrating data from local shared drives to BOX Cloud, including mirroring permissions.","New York, NY"
478,"Data Scientist, Human Resources",,,They assess the effectiveness and accuracy of new data sources and data gathering techniques.The Data Scientist is responsible for mining and analyzing data…,"Atlanta, GA 30308 (Downtown area)"
479,Data Scientist,,,"The ideal candidate would have experience working in neutron, x-ray, or other imaging modalities, as well as being capable of leading data analysis algorithm…","Madison, WI 53711"
480,"Data Scientist, Junior",,,"Participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…","San Antonio, TX+3 locations"
481,Data Scientist,,,"Experience analyzing user level data (PII and anonymized), DMP data, social data and viewing / transactional or streaming data.","Culver City, CA 90232 (Washington Culver area)"
482,Data Scientist,,,"Advanced degree (master's degree or PhD) with quantitative background (data science, applied mathematics or statistics, computer science, engineering,…","Armonk, NY 10504"
483,"Manager, Data Science",,,Opportunity to advance on the data science and/or leadership track.4+ years work experience with data exploration and machine learning tools such as those…,"Draper, UT"
484,Clinical Data Scientist,,Remote,Mentor and recruit data science interns to train the next generation of health analysts!Communicate design and impact of data science projects in research…,Remote•Remote
485,Data Scientist (Remote Eligible),,Remote,"Partner with leadership and stakeholders to develop our data science function.In this role, you will work closely with the data team, various operational teams…",Virginia•Remote
486,Data Scientist 2,,Remote,Manipulate and / or build query statements to perform data extracts across multiple data sets and platforms.The talented individuals we seek combine successful…,Remote•Remote
487,Data Scientist,,,"Be on the leading edge of applying machine learning and data modeling to the world of advanced cyber security – as part of the data science engineering team,…","San Jose, CA 95128+1 location (West San Jose area)"
488,Data Analyst - Data Science & Analytics,,,"This position involves dealing with a considerable amount of complex, real-world data and requires a candidate who is comfortable thinking of new and innovative…","New York, NY 10016 (Gramercy area)"
489,Data Science Manager,,,"Ability to stay and operate at the bleeding-edge of data science disciplines.Retrieve, prepare and process data from variety of data sources such as structure…","Las Vegas, NV"
490,"Research Scientist, Privacy Research",,,"Quickly learn and deploy appropriate data science tools and methodologies as needed, with tasks ranging from A/B testing to data processing and analysis to…","Washington, DC 20004 (Penn Quarter area)"
491,Associate Data Scientist,,,This 9 month program is designed for aspiring data scientists with a strong background in a technical field to kick-start their career in data science.,"Columbus, OH"
492,Fraud Business Intelligence Data Analyst - Card Products,"$90,000 - $100,000 a year",Remote,"Provide concise data reports and clear data visualizations.You must have the ability to obtain raw data from a data lake via SAS/GCP, be familiar with data…",Remote•Remote
493,Principal Data Engineer,,Remote,"Run data quality and data monitoring improvement programs.Collaborate with peer data teams on data integration, standardization, data quality and operations…",United States•Remote
494,Data Scientist - Entry Level,,,Carry out development of data analysis algorithms to address program and sponsor data sciences requirements.Collaborate with scientists and researchers in one…,"Livermore, CA 94550"
495,Data Science Lead,,,Manage a dynamic portfolio of data science deliverables.The Artificial Intelligence / Machine Learning Team in Fraud & Cyber Analytics is an agile development…,"Baltimore, MD"
496,DATA ANALYST (PROJECT/TEMPORARY),,Remote,"Bring together data, analytic engines, and data visualizations in one seamless computational process.Create and document efficient, effective, and replicable…","Seattle, WA 98195 (University District area)•Remote"
497,"Staff Data Scientist, Forecasting - HBO Max",,,Capture business requirements for data science solutions and communicate data science output and recommendations to inform business strategies.,"Los Angeles, CA"
498,Data Scientist,,,Present research findings at leading finance and data science conferences.This team serves as the Center of Excellence for data science initiatives and is…,"New York, NY 10020 (Midtown area)"
499,eCom Data Engineer,,,In this role you will have several distinct responsibilities and priorities: Build new technologies and algorithms to optimize business processes Apply…,"San Francisco, CA"
